域名,注册商,到期时间,DNS提供商,域名状态,状态标识,最后检查,通知状态,创建时间
test-5days-fix.com,未知,未知,未知,未知,未注册,2025/7/19 9:13:07 PM,已启用,2025/7/19
test-15days-fix.com,未知,未知,未知,未知,未注册,2025/7/19 9:13:07 PM,已启用,2025/7/19
test-60days-fix.com,未知,未知,未知,未知,未注册,2025/7/19 9:13:07 PM,已启用,2025/7/19
test-5days-en.com,未知,未知,未知,未知,未注册,2025/7/19 9:13:07 PM,已启用,2025/7/19
test-15days-en.com,未知,未知,未知,未知,未注册,2025/7/19 9:13:07 PM,已启用,2025/7/19
test-60days-en.com,未知,未知,未知,未知,未注册,2025/7/19 9:13:07 PM,已启用,2025/7/19
test-7days.com,未知,未知,未知,未知,未注册,2025/7/19 9:13:07 PM,已启用,2025/7/19
test-30days.com,未知,未知,未知,未知,未注册,2025/7/19 9:13:07 PM,已启用,2025/7/19
test-90days.com,未知,未知,未知,未知,未注册,2025/7/19 9:13:07 PM,已启用,2025/7/19
123sn.icu,未知,未知,未知,未知,查询失败,2025/7/19 9:13:07 PM,已启用,2025/7/19
claw.buzz,"Spaceship, Inc.",2025/9/27,Cloudflare,"禁止转移, 服务器禁止转移",正常,2025/7/19 9:13:07 PM,已禁用,2025/7/19
debian.club,"Spaceship, Inc.",2026/6/6,Cloudflare,"禁止转移, 服务器禁止转移",正常,2025/7/19 9:13:07 PM,已启用,2025/7/19
upload.fan,"DNSPod, Inc.",2025/9/1,DNSPod,正常,正常,2025/7/19 9:13:07 PM,已禁用,2025/7/19
hestiacp.cn,阿里云计算有限公司（万网）,2026/6/3,Hichina.com,正常,正常,2025/7/19 9:13:07 PM,已启用,2025/7/19
eolcn.com,DREAMHOST,2026/6/28,Cloudflare,禁止转移,正常,2025/7/19 9:13:07 PM,已启用,2025/7/19
google.com,"MarkMonitor, Inc.",2028/9/13,Google Domains,"禁止更新, 禁止转移, 禁止删除",正常,2025/7/19 9:13:07 PM,已启用,2025/7/19
unregistered-test-domain.com,未知,未知,未知,未知,未注册,2025/7/19 9:13:07 PM,已启用,2025/7/19
baidu.cn,互联网域名系统北京市工程研究中心有限公司,2029/3/17,Baidu.com,"禁止删除, 禁止更新, 禁止转移",正常,2025/7/19 9:13:07 PM,已启用,2025/7/19
microsoft.com,"MarkMonitor, Inc.",2026/5/3,Azure DNS,"禁止更新, 禁止转移, 禁止删除",正常,2025/7/19 9:13:07 PM,已启用,2025/7/19
